Address:,USB0::0x0957::0x179B::MY54313421::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,0.00105286444,10.5527654662728,-0.0618090445641428,
,,,0.0010533852725,10.0000015608966,-0.219497485086322,
,,,0.001053906105,10.2010066173971,-0.0934673356823623,
,,,0.0010544269375,9.94975029677153,-0.133266330230981,
,,,0.00105494777,9.94975029677153,-0.139296480920166,
,,,0.0010554686025,9.64824271202087,-0.0648241199087352,
,,,0.001055989435,9.39698639139533,-0.189346731640399,
,,,0.0010565102675,9.54774018377066,-0.0829145719762892,
,,,0.0010570311,9.39698639139533,-0.0741708534769714,
,,,0.0010575519325,9.1959813348949,-0.156180902849883,
,,,0.001058072765,8.99497627839446,-0.110653265146539,
,,,0.0010585935975,9.09547880664468,-0.0859296473208815,
,,,0.00105911443,8.84422248601913,-0.143517586402595,
,,,0.0010596352625,8.69346869364381,-0.119396983645856,
,,,0.001060156095,8.74371995776892,-0.122713566524908,
,,,0.0010606769275,8.29145858064294,-0.13356783776544,
,,,0.00106119776,8.34170984476805,-0.0741708534769714,
,,,0.0010617185925,7.88944846764207,-0.167035174090415,
,,,0.001062239425,8.0904535241425,-0.0979899486992508,
,,,0.0010627602575,8.0402022600174,-0.0663316575810313,
,,,0.00106328109,7.68844341114163,-0.189949746709317,
,,,0.0010638019225,7.73869467526674,-0.0898492452688515,
,,,0.001064322755,7.4874383546412,-0.115778893232346,
,,,0.0010648435875,7.28643329814076,-0.0898492452688515,
,,,0.00106536442,7.08542824164033,-0.136582913110033,
,,,0.0010658852525,7.13567950576544,-0.156180902849883,
,,,0.001066406085,7.18593076989055,-0.000603015068918467,
,,,0.0010669269175,6.68341812863946,-0.166432159021497,
,,,0.00106744775,6.88442318513989,-0.077487436356023,
,,,0.0010679685825,6.63316686451435,-0.0877386925276369,
,,,0.001068489415,6.48241307213902,-0.103417084319517,
,,,0.0010690102475,6.48241307213902,-0.0599999993573874,
,,,0.00106953108,6.23115675151348,-0.146834169281647,
,,,0.0010700519125,6.58291560038924,-0.0340703513938934,
,,,0.001070572745,6.23115675151348,-0.0898492452688515,
,,,0.0010710935775,6.18090548738837,-0.0880402000620961,
,,,0.00107161441,6.18090548738837,-0.0847236171830446,
,,,0.0010721352425,5.87939790263772,-0.0795979890972376,
,,,0.001072656075,6.08040295913816,-0.072361808270216,
,,,0.0010731769075,5.52763905376196,-0.144120601471514,
,,,0.00107369774,5.52763905376196,-0.0114572863094509,
,,,0.0010742185725,5.52763905376196,-0.109748742543161,
,,,0.001074739405,5.42713652551174,-0.104321606922895,
,,,0.0010752602375,5.12562894076109,-0.0783919589594007,
,,,0.00107578107,5.07537767663598,-0.105829144595191,
,,,0.0010763019025,5.07537767663598,-0.0572864315472543,
,,,0.001076822735,4.97487514838576,-0.130552762420848,
