# Press Shift+Enter to add data
# Press Ctrl+S to save

T(°C)	Uh(mV)	Up(mV)
107.6	1	1026
107.2	1	1029
107.2	1	1029
107.2	1	1029
107.2	1	1029
107.2	1	1029
107.3	1	1033
107.3	1	1033
107.3	1	1033
107.3	1	1033
107.3	1	1033
107.0	1	1036
107.0	1	1036
107.0	1	1036
107.0	1	1036
107.2	1	1039
107.2	1	1039
107.2	1	1039
107.2	1	1039
106.9	1	1042
106.9	1	1042
106.9	1	1042
106.9	1	1042
106.9	1	1042
107.0	1	1045
107.0	1	1045
107.0	1	1045
107.0	1	1045
107.0	1	1045
106.7	2	1049
106.7	2	1049
106.7	2	1049
106.7	2	1049
106.7	2	1049
106.6	2	1052
106.6	2	1052
106.6	2	1052
106.6	2	1052
106.6	2	1056
106.6	2	1056
106.6	2	1056
106.6	2	1056
106.6	2	1056
106.5	2	1060
106.5	2	1060
106.5	2	1060
106.5	2	1060
106.5	2	1060
106.1	2	1063
106.1	2	1063
106.1	2	1063
106.1	2	1063
106.1	2	1066
106.1	2	1066
106.1	2	1066
106.1	2	1066
106.1	2	1069
106.1	2	1069
106.1	2	1069
106.1	2	1069
106.1	2	1069
106.2	2	1073
106.2	2	1073
106.2	2	1073
106.2	2	1073
106.2	2	1073
105.8	2	1076
105.8	2	1076
105.8	2	1076
105.8	2	1076
105.8	2	1076
105.7	2	1079
105.7	2	1079
105.7	2	1079
105.7	2	1079
105.4	2	1082
105.4	2	1082
105.4	2	1082
105.4	2	1082
105.4	2	1082
105.8	2	1087
105.8	2	1087
105.8	2	1087
105.8	2	1087
105.8	2	1087
105.1	2	1090
105.1	2	1090
105.1	2	1090
105.1	2	1090
105.2	2	1093
105.2	2	1093
105.2	2	1093
105.2	2	1093
105.2	2	1093
104.9	3	1096
104.9	3	1096
104.9	3	1096
104.9	3	1096
104.9	3	1096
105.0	3	1100
105.0	3	1100
105.0	3	1100
105.0	3	1100
105.0	3	1100
105.2	3	1104
105.2	3	1104
105.2	3	1104
105.2	3	1104
104.9	3	1107
104.9	3	1107
104.9	3	1107
104.9	3	1107
104.9	3	1107
104.5	3	1111
104.5	3	1111
104.5	3	1111
104.5	3	1111
104.5	3	1111
104.8	3	1113
104.8	3	1113
104.8	3	1113
104.8	3	1113
104.8	3	1113
104.1	3	1117
104.1	3	1117
104.1	3	1117
104.1	3	1117
104.1	3	1120
104.1	3	1120
104.1	3	1120
104.1	3	1120
104.1	3	1120
104.1	3	1125
104.1	3	1125
104.1	3	1125
104.1	3	1125
104.1	3	1125
103.8	3	1128
103.8	3	1128
103.8	3	1128
103.8	3	1128
104.4	3	1131
104.4	3	1131
104.4	3	1131
104.4	3	1131
103.8	3	1134
103.8	3	1134
103.8	3	1134
103.8	3	1134
103.8	3	1134
103.5	4	1137
103.5	4	1137
103.5	4	1137
103.5	4	1137
103.6	4	1141
103.6	4	1141
103.6	4	1141
103.6	4	1141
103.6	4	1141
103.9	4	1144
103.9	4	1144
103.9	4	1144
103.9	4	1144
103.9	4	1144
103.4	4	1147
103.4	4	1147
103.4	4	1147
103.4	4	1147
103.1	4	1151
103.1	4	1151
103.1	4	1151
103.1	4	1151
103.1	4	1151
103.6	4	1154
103.6	4	1154
103.6	4	1154
103.6	4	1154
102.9	4	1158
102.9	4	1158
102.9	4	1158
102.9	4	1158
102.9	4	1158
103.3	4	1161
103.3	4	1161
103.3	4	1161
103.3	4	1161
103.3	4	1161
103.1	4	1164
103.1	4	1164
103.1	4	1164
103.1	4	1164
102.7	4	1168
102.7	4	1168
102.7	4	1168
102.7	4	1168
102.7	4	1168
102.9	4	1170
102.9	4	1170
102.9	4	1170
102.9	4	1170
102.8	5	1174
102.8	5	1174
102.8	5	1174
102.8	5	1174
102.8	5	1174
102.3	5	1177
102.3	5	1177
102.3	5	1177
102.3	5	1177
102.3	5	1177
102.7	5	1181
102.7	5	1181
102.7	5	1181
102.7	5	1181
102.2	5	1183
102.2	5	1183
102.2	5	1183
102.2	5	1183
102.2	5	1183
102.5	5	1187
102.5	5	1187
102.5	5	1187
102.5	5	1187
102.2	5	1191
102.2	5	1191
102.2	5	1191
102.2	5	1191
102.2	5	1191
101.8	5	1194
101.8	5	1194
101.8	5	1194
101.8	5	1194
101.7	5	1198
101.7	5	1198
101.7	5	1198
101.7	5	1198
101.7	5	1198
101.9	5	1201
101.9	5	1201
101.9	5	1201
101.9	5	1201
101.9	5	1201
101.3	5	1204
101.3	5	1204
101.3	5	1204
101.3	5	1204
101.3	5	1204
101.4	5	1207
101.4	5	1207
101.4	5	1207
101.4	5	1207
101.3	6	1211
101.3	6	1211
101.3	6	1211
101.3	6	1211
101.3	6	1211
101.5	6	1215
101.5	6	1215
101.5	6	1215
101.5	6	1215
101.5	6	1215
101.2	6	1218
101.2	6	1218
101.2	6	1218
101.2	6	1218
101.2	6	1221
101.2	6	1221
101.2	6	1221
101.2	6	1221
101.0	6	1224
101.0	6	1224
101.0	6	1224
101.0	6	1224
101.0	6	1224
101.0	6	1227
101.0	6	1227
101.0	6	1227
101.0	6	1227
100.9	6	1230
100.9	6	1230
100.9	6	1230
100.9	6	1230
100.9	6	1230
100.5	6	1234
100.5	6	1234
100.5	6	1234
100.5	6	1234
100.5	6	1234
100.8	6	1237
100.8	6	1237
100.8	6	1237
100.8	6	1237
100.0	6	1241
100.0	6	1241
100.0	6	1241
100.0	6	1241
100.4	7	1244
100.4	7	1244
100.4	7	1244
100.4	7	1244
100.4	7	1244
100.3	7	1247
100.3	7	1247
100.3	7	1247
100.3	7	1247
100.3	7	1247
100.2	7	1250
100.2	7	1250
100.2	7	1250
100.2	7	1250
100.1	7	1253
100.1	7	1253
100.1	7	1253
100.1	7	1253
100.1	7	1253
100.2	7	1257
100.2	7	1257
100.2	7	1257
100.2	7	1257
100.2	7	1257
99.5	7	1261
99.5	7	1261
99.5	7	1261
99.5	7	1261
99.5	7	1261
99.5	7	1264
99.5	7	1264
99.5	7	1264
99.5	7	1264
99.4	7	1268
99.4	7	1268
99.4	7	1268
99.4	7	1268
99.4	7	1268
99.4	7	1270
99.4	7	1270
99.4	7	1270
99.4	7	1270
99.4	7	1273
99.4	7	1273
99.4	7	1273
99.4	7	1273
99.4	7	1273
99.3	8	1278
99.3	8	1278
99.3	8	1278
99.3	8	1278
99.3	8	1278
99.1	8	1280
99.1	8	1280
99.1	8	1280
99.1	8	1280
99.1	8	1280
99.2	8	1283
99.2	8	1283
99.2	8	1283
99.2	8	1283
99.0	8	1287
99.0	8	1287
99.0	8	1287
99.0	8	1287
99.0	8	1287
99.0	8	1290
99.0	8	1290
99.0	8	1290
99.0	8	1290
99.0	8	1290
98.6	8	1293
98.6	8	1293
98.6	8	1293
98.6	8	1293
98.7	8	1297
98.7	8	1297
98.7	8	1297
98.7	8	1297
98.7	8	1297
98.7	8	1300
98.7	8	1300
98.7	8	1300
98.7	8	1300
98.7	8	1304
98.7	8	1304
98.7	8	1304
98.7	8	1304
98.7	8	1304
98.3	9	1306
98.3	9	1306
98.3	9	1306
98.3	9	1306
98.3	9	1306
98.4	9	1311
98.4	9	1311
98.4	9	1311
98.4	9	1311
98.4	9	1311
98.1	9	1313
98.1	9	1313
98.1	9	1313
98.1	9	1313
97.8	9	1317
97.8	9	1317
97.8	9	1317
97.8	9	1317
97.8	9	1317
97.7	9	1320
97.7	9	1320
97.7	9	1320
97.7	9	1320
97.7	9	1320
97.9	9	1324
97.9	9	1324
97.9	9	1324
97.9	9	1324
97.9	9	1324
97.8	9	1327
97.8	9	1327
97.8	9	1327
97.8	9	1327
97.6	9	1330
97.6	9	1330
97.6	9	1330
97.6	9	1330
97.6	9	1330
97.8	10	1333
97.8	10	1333
97.8	10	1333
97.8	10	1333
97.1	10	1337
97.1	10	1337
97.1	10	1337
97.1	10	1337
97.1	10	1337
97.3	10	1339
97.3	10	1339
97.3	10	1339
97.3	10	1339
97.3	10	1339
97.3	10	1343
97.3	10	1343
97.3	10	1343
97.3	10	1343
97.3	10	1347
97.3	10	1347
97.3	10	1347
97.3	10	1347
97.2	10	1350
97.2	10	1350
97.2	10	1350
97.2	10	1350
97.2	10	1350
97.2	10	1352
97.2	10	1352
97.2	10	1352
97.2	10	1352
97.2	10	1352
96.8	10	1355
96.8	10	1355
96.8	10	1355
96.8	10	1355
96.8	10	1355
96.7	10	1359
96.7	10	1359
96.7	10	1359
96.7	10	1359
96.6	11	1362
96.6	11	1362
96.6	11	1362
96.6	11	1362
96.6	11	1362
96.4	11	1366
96.4	11	1366
96.4	11	1366
96.4	11	1366
96.4	11	1366
96.3	11	1369
96.3	11	1369
96.3	11	1369
96.3	11	1369
96.7	11	1371
96.7	11	1371
96.7	11	1371
96.7	11	1371
96.7	11	1371
96.0	11	1375
96.0	11	1375
96.0	11	1375
96.0	11	1375
96.0	11	1378
96.0	11	1378
96.0	11	1378
96.0	11	1378
96.0	11	1378
95.8	11	1381
95.8	11	1381
95.8	11	1381
95.8	11	1381
95.8	11	1381
95.8	11	1385
95.8	11	1385
95.8	11	1385
95.8	11	1385
95.7	12	1387
95.7	12	1387
95.7	12	1387
95.7	12	1387
95.7	12	1387
95.6	12	1391
95.6	12	1391
95.6	12	1391
95.6	12	1391
95.5	12	1393
95.5	12	1393
95.5	12	1393
95.5	12	1393
95.5	12	1393
95.5	12	1396
95.5	12	1396
95.5	12	1396
95.5	12	1396
95.5	12	1396
95.4	12	1400
95.4	12	1400
95.4	12	1400
95.4	12	1400
95.4	12	1402
95.4	12	1402
95.4	12	1402
95.4	12	1402
95.4	12	1402
95.0	12	1406
95.0	12	1406
95.0	12	1406
95.0	12	1406
95.3	12	1408
95.3	12	1408
95.3	12	1408
95.3	12	1408
