,,,-2.4100000E-6,0.0,,,,,-2.4100000E-6,191.99998677E-3,,,,,-2.4100000E-6,159.99999642E-3,
,,,-2.4000001E-6,0.0,,,,,-2.4000001E-6,183.99998546E-3,,,,,-2.4000001E-6,0.0,
,,,-2.3900000E-6,7.999999449E-3,,,,,-2.3900000E-6,191.99998677E-3,,,,,-2.3900000E-6,79.999998212E-3,
,,,-2.3800001E-6,0.0,,,,,-2.3800001E-6,191.99998677E-3,,,,,-2.3800001E-6,79.999998212E-3,
,,,-2.3699999E-6,0.0,,,,,-2.3699999E-6,199.99998808E-3,,,,,-2.3699999E-6,0.0,
,,,-2.3600001E-6,0.0,,,,,-2.3600001E-6,191.99998677E-3,,,,,-2.3600001E-6,0.0,
,,,-2.3499999E-6,7.999999449E-3,,,,,-2.3499999E-6,199.99998808E-3,,,,,-2.3499999E-6,0.0,
,,,-2.3400000E-6,0.0,,,,,-2.3400000E-6,191.99998677E-3,,,,,-2.3400000E-6,0.0,
,,,-2.3300001E-6,0.0,,,,,-2.3300001E-6,191.99998677E-3,,,,,-2.3300001E-6,-79.999998212E-3,
,,,-2.3200000E-6,0.0,,,,,-2.3200000E-6,191.99998677E-3,,,,,-2.3200000E-6,79.999998212E-3,
,,,-2.3100001E-6,7.999999449E-3,,,,,-2.3100001E-6,191.99998677E-3,,,,,-2.3100001E-6,79.999998212E-3,
,,,-2.3000000E-6,0.0,,,,,-2.3000000E-6,191.99998677E-3,,,,,-2.3000000E-6,0.0,
,,,-2.2900001E-6,7.999999449E-3,,,,,-2.2900001E-6,191.99998677E-3,,,,,-2.2900001E-6,79.999998212E-3,
,,,-2.2800000E-6,0.0,,,,,-2.2800000E-6,199.99998808E-3,,,,,-2.2800000E-6,79.999998212E-3,
,,,-2.2700001E-6,0.0,,,,,-2.2700001E-6,183.99998546E-3,,,,,-2.2700001E-6,0.0,
,,,-2.2600000E-6,0.0,,,,,-2.2600000E-6,191.99998677E-3,,,,,-2.2600000E-6,0.0,
,,,-2.2500001E-6,-7.999999449E-3,,,,,-2.2500001E-6,183.99998546E-3,,,,,-2.2500001E-6,0.0,
,,,-2.2400000E-6,0.0,,,,,-2.2400000E-6,191.99998677E-3,,,,,-2.2400000E-6,0.0,
,,,-2.2300001E-6,0.0,,,,,-2.2300001E-6,191.99998677E-3,,,,,-2.2300001E-6,0.0,
,,,-2.2199999E-6,7.999999449E-3,,,,,-2.2199999E-6,199.99998808E-3,,,,,-2.2199999E-6,0.0,
,,,-2.2100000E-6,0.0,,,,,-2.2100000E-6,183.99998546E-3,,,,,-2.2100000E-6,159.99999642E-3,
,,,-2.1999999E-6,0.0,,,,,-2.1999999E-6,183.99998546E-3,,,,,-2.1999999E-6,79.999998212E-3,
,,,-2.1900000E-6,0.0,,,,,-2.1900000E-6,191.99998677E-3,,,,,-2.1900000E-6,79.999998212E-3,
,,,-2.1800001E-6,0.0,,,,,-2.1800001E-6,191.99998677E-3,,,,,-2.1800001E-6,79.999998212E-3,
,,,-2.1700000E-6,0.0,,,,,-2.1700000E-6,199.99998808E-3,,,,,-2.1700000E-6,-79.999998212E-3,
,,,-2.1600001E-6,0.0,,,,,-2.1600001E-6,191.99998677E-3,,,,,-2.1600001E-6,0.0,
,,,-2.1500000E-6,0.0,,,,,-2.1500000E-6,191.99998677E-3,,,,,-2.1500000E-6,79.999998212E-3,
,,,-2.1400001E-6,0.0,,,,,-2.1400001E-6,199.99998808E-3,,,,,-2.1400001E-6,0.0,
,,,-2.1300000E-6,0.0,,,,,-2.1300000E-6,191.99998677E-3,,,,,-2.1300000E-6,0.0,
,,,-2.1200001E-6,0.0,,,,,-2.1200001E-6,191.99998677E-3,,,,,-2.1200001E-6,79.999998212E-3,
,,,-2.1100000E-6,7.999999449E-3,,,,,-2.1100000E-6,191.99998677E-3,,,,,-2.1100000E-6,0.0,
,,,-2.1000001E-6,0.0,,,,,-2.1000001E-6,191.99998677E-3,,,,,-2.1000001E-6,79.999998212E-3,
,,,-2.0900000E-6,0.0,,,,,-2.0900000E-6,199.99998808E-3,,,,,-2.0900000E-6,79.999998212E-3,
,,,-2.0800001E-6,0.0,,,,,-2.0800001E-6,191.99998677E-3,,,,,-2.0800001E-6,0.0,
,,,-2.0699999E-6,0.0,,,,,-2.0699999E-6,199.99998808E-3,,,,,-2.0699999E-6,0.0,
,,,-2.0600000E-6,0.0,,,,,-2.0600000E-6,183.99998546E-3,,,,,-2.0600000E-6,0.0,
,,,-2.0499999E-6,0.0,,,,,-2.0499999E-6,199.99998808E-3,,,,,-2.0499999E-6,79.999998212E-3,
,,,-2.0400000E-6,0.0,,,,,-2.0400000E-6,199.99998808E-3,,,,,-2.0400000E-6,0.0,
,,,-2.0300001E-6,0.0,,,,,-2.0300001E-6,191.99998677E-3,,,,,-2.0300001E-6,0.0,
,,,-2.0200000E-6,0.0,,,,,-2.0200000E-6,183.99998546E-3,,,,,-2.0200000E-6,0.0,
,,,-2.0100001E-6,0.0,,,,,-2.0100001E-6,191.99998677E-3,,,,,-2.0100001E-6,0.0,
