Time(s),CHAN1(V),CHAN2(V)
-0.023867,-0.629615,-0.009799
-0.023864,-0.609515,-0.029900
-0.023861,-0.609515,-0.009799
-0.023858,-0.609515,-0.029900
-0.023854,-0.609515,-0.029900
-0.023851,-0.609515,-0.029900
-0.023848,-0.609515,-0.050000
-0.023845,-0.609515,-0.050000
-0.023842,-0.609515,-0.029900
-0.023838,-0.609515,-0.029900
-0.023835,-0.609515,-0.029900
-0.023832,-0.609515,-0.029900
-0.023829,-0.609515,-0.029900
-0.023826,-0.609515,-0.029900
-0.023822,-0.609515,-0.029900
-0.023819,-0.609515,-0.029900
-0.023816,-0.609515,-0.029900
-0.023813,-0.609515,-0.050000
-0.023810,-0.609515,-0.050000
-0.023806,-0.609515,-0.050000
-0.023803,-0.589414,-0.050000
-0.023800,-0.609515,-0.050000
-0.023797,-0.609515,-0.050000
-0.023794,-0.589414,-0.029900
-0.023790,-0.609515,-0.029900
-0.023787,-0.609515,-0.029900
-0.023784,-0.609515,-0.050000
-0.023781,-0.589414,-0.029900
-0.023778,-0.589414,-0.029900
-0.023774,-0.609515,-0.029900
-0.023771,-0.609515,-0.029900
-0.023768,-0.589414,-0.029900
-0.023765,-0.589414,-0.050000
-0.023762,-0.589414,-0.050000
-0.023758,-0.589414,-0.029900
-0.023755,-0.589414,-0.050000
-0.023752,-0.589414,-0.050000
-0.023749,-0.589414,-0.050000
-0.023746,-0.589414,-0.029900
-0.023742,-0.589414,-0.029900
-0.023739,-0.589414,-0.029900
-0.023736,-0.589414,-0.050000
-0.023733,-0.589414,-0.029900
-0.023730,-0.589414,-0.050000
-0.023726,-0.589414,-0.050000
-0.023723,-0.589414,-0.029900
-0.023720,-0.589414,-0.050000
-0.023717,-0.589414,-0.029900
-0.023714,-0.589414,-0.029900
-0.023710,-0.589414,-0.029900
-0.023707,-0.589414,-0.029900
-0.023704,-0.569314,-0.029900
-0.023701,-0.589414,-0.029900
-0.023698,-0.589414,-0.029900
-0.023694,-0.569314,-0.029900
-0.023691,-0.569314,-0.009799
-0.023688,-0.589414,-0.029900
-0.023685,-0.569314,-0.009799
-0.023682,-0.569314,-0.009799
-0.023678,-0.589414,-0.029900
-0.023675,-0.569314,-0.029900
-0.023672,-0.569314,-0.009799
-0.023669,-0.569314,-0.009799
-0.023666,-0.569314,-0.009799
-0.023662,-0.569314,-0.009799
-0.023659,-0.589414,-0.009799
-0.023656,-0.569314,-0.009799
-0.023653,-0.569314,-0.009799
-0.023650,-0.569314,-0.009799
-0.023646,-0.569314,-0.009799
-0.023643,-0.569314,-0.009799
-0.023640,-0.569314,-0.009799
-0.023637,-0.569314,-0.029900
-0.023634,-0.569314,-0.009799
-0.023630,-0.549213,-0.029900
-0.023627,-0.549213,-0.009799
-0.023624,-0.549213,-0.009799
