# Bragg angle (deg)	Intensity (cps)
67.10	10131.2
67.20	10139.9
67.30	10107.6
67.40	10140.7
67.50	10121.7
67.60	10134.3
67.70	10115.9
67.80	10112.0
67.90	10135.7
68.00	10138.7
68.10	10122.9
68.20	10117.4
68.30	10139.9
68.40	10120.0
68.50	10113.8
68.60	10118.9
68.70	10108.3
68.80	10105.6
68.90	10136.1
69.00	10130.6
69.10	10104.1
69.20	10101.0
69.30	10095.3
69.40	10108.3
69.50	10143.1
69.60	10110.7
69.70	10119.5
69.80	10123.2
69.90	10111.9
70.00	10087.6
70.10	10090.5
70.20	10089.1
70.30	10095.6
70.40	10101.6
70.50	10133.5
70.60	10094.0
70.70	10122.3
70.80	10083.8
70.90	10107.2
71.00	10097.2
71.10	10099.3
71.20	10110.1
71.30	10121.5
71.40	10089.9
71.50	10107.1
71.60	10087.5
71.70	10097.8
71.80	10103.0
71.90	10101.2
72.00	10113.1
72.10	10110.2
72.20	10102.4
72.30	10095.9
72.40	10108.9
72.50	10083.5
72.60	10102.8
72.70	10064.5
72.80	10093.3
72.90	10116.3
73.00	10090.3
73.10	10096.2
73.20	10083.5
73.30	10103.9
73.40	10074.7
73.50	10080.9
73.60	10073.5
73.70	10090.9
73.80	10083.9
73.90	10073.0
74.00	10088.3
74.10	10088.8
74.20	10102.8
74.30	10070.4
74.40	10094.8
74.50	10066.9
74.60	10063.4
74.70	10080.8
74.80	10053.1
74.90	10099.6
75.00	10078.6
